skill_code,coa_requirement_key,validation_rule,exclusions
airway_inhalation_induction,coa.skill.airway.inhalation_induction,performed_by_srna=true,Inhalation induction using volatile agent as primary method.
airway_mask_ventilation,coa.skill.airway.mask_ventilation,performed_by_srna=true,One per patient; positive pressure ventilation by mask.
airway_sga_lma,coa.skill.airway.supraglottic_total,performed_by_srna=true,Laryngeal mask counts under supraglottic devices.
airway_sga_other,coa.skill.airway.supraglottic_total,performed_by_srna=true,Other supraglottic device.
airway_intubation_oral,coa.skill.airway.tracheal_intubation_total,performed_by_srna=true and successful=true,Only successful tracheal intubation counts.
airway_intubation_nasal,coa.skill.airway.tracheal_intubation_total,performed_by_srna=true and successful=true,Only successful tracheal intubation counts.
airway_alt_intubation_video,coa.skill.airway.alt_intubation_total,performed_by_srna=true and successful=true,Alternative technique should also map to tracheal intubation if ETT placed.
airway_endoscopic,coa.skill.airway.endoscopic_techniques,performed_by_srna=true and validation in clinical|simulated,"Simulation may satisfy part, not all."
airway_chest_xray,coa.skill.airway.chest_xray,performed_by_srna=true,Assessment of chest X-ray for perianesthetic implications.
regional_spinal,coa.skill.regional.spinal,performed_by_srna=true,Counts only when personally performed.
regional_spinal,coa.skill.regional.actual_administration_total,performed_by_srna=true,Spinal counts toward regional actual administration total.
regional_epidural,coa.skill.regional.epidural,performed_by_srna=true,Counts only when personally performed.
regional_epidural,coa.skill.regional.actual_administration_total,performed_by_srna=true,Epidural counts toward regional actual administration total.
regional_cse,coa.skill.regional.spinal,performed_by_srna=true,CSE counts as a spinal for COA purposes.
regional_cse,coa.skill.regional.epidural,performed_by_srna=true,CSE counts as an epidural for COA purposes.
regional_cse,coa.skill.regional.actual_administration_total,performed_by_srna=true,CSE counts toward regional actual administration total.
regional_pnb_upper,coa.skill.regional.peripheral_block,performed_by_srna=true,Upper extremity PNB counts toward peripheral block total.
regional_pnb_upper,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Upper extremity PNB – anesthesia subcategory.
regional_pnb_upper,coa.skill.regional.actual_administration_total,performed_by_srna=true,PNB counts toward regional actual administration total.
regional_pnb_lower,coa.skill.regional.peripheral_block,performed_by_srna=true,Lower extremity PNB counts toward peripheral block total.
regional_pnb_lower,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Lower extremity PNB – anesthesia subcategory.
regional_pnb_lower,coa.skill.regional.actual_administration_total,performed_by_srna=true,PNB counts toward regional actual administration total.
regional_other,coa.skill.regional.other_total,performed_by_srna=true,Other regional techniques (truncal/cutaneous/head-neck).
regional_other,coa.skill.regional.actual_administration_total,performed_by_srna=true,Other regional counts toward regional actual administration total.
regional_management,coa.skill.regional.management_total,performed_by_srna=true,Managing patient under regional anesthetic (placed by student or another provider).
regional_pnb_upper_interscalene,coa.skill.regional.peripheral_block,performed_by_srna=true,Interscalene block counts toward peripheral block total.
regional_pnb_upper_interscalene,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Interscalene – upper extremity anesthesia subcategory.
regional_pnb_upper_interscalene,coa.skill.regional.actual_administration_total,performed_by_srna=true,Interscalene counts toward regional actual administration total.
regional_pnb_upper_supraclavicular,coa.skill.regional.peripheral_block,performed_by_srna=true,Supraclavicular block counts toward peripheral block total.
regional_pnb_upper_supraclavicular,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Supraclavicular – upper extremity anesthesia subcategory.
regional_pnb_upper_supraclavicular,coa.skill.regional.actual_administration_total,performed_by_srna=true,Supraclavicular counts toward regional actual administration total.
regional_pnb_upper_infraclavicular,coa.skill.regional.peripheral_block,performed_by_srna=true,Infraclavicular block counts toward peripheral block total.
regional_pnb_upper_infraclavicular,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Infraclavicular – upper extremity anesthesia subcategory.
regional_pnb_upper_infraclavicular,coa.skill.regional.actual_administration_total,performed_by_srna=true,Infraclavicular counts toward regional actual administration total.
regional_pnb_upper_axillary,coa.skill.regional.peripheral_block,performed_by_srna=true,Axillary block counts toward peripheral block total.
regional_pnb_upper_axillary,coa.skill.regional.peripheral_anesthesia_upper,performed_by_srna=true,Axillary – upper extremity anesthesia subcategory.
regional_pnb_upper_axillary,coa.skill.regional.actual_administration_total,performed_by_srna=true,Axillary counts toward regional actual administration total.
regional_pnb_lower_femoral,coa.skill.regional.peripheral_block,performed_by_srna=true,Femoral/adductor canal block counts toward peripheral block total.
regional_pnb_lower_femoral,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Femoral/adductor canal – lower extremity anesthesia subcategory.
regional_pnb_lower_femoral,coa.skill.regional.actual_administration_total,performed_by_srna=true,Femoral/adductor canal counts toward regional actual administration total.
regional_pnb_lower_popliteal,coa.skill.regional.peripheral_block,performed_by_srna=true,Popliteal sciatic block counts toward peripheral block total.
regional_pnb_lower_popliteal,coa.skill.regional.peripheral_anesthesia_lower,performed_by_srna=true,Popliteal sciatic – lower extremity anesthesia subcategory.
